Product Number ('SKU'),Specific Product Name,Brand,Price Range,General Product Name (productId),Product Category,Product Link,Affiliate Link,isDefault?,isRecommended?
GC-5,Clean Clean Gentle Gel Foaming Cleanser,Sophie Pavitt Face,$35-65,Gel Cleanser,Cleanser,https://www.sephora.com/product/clean-clean-gentle-gel-foaming-cleanser-P514513,,FALSE,FALSE
GC-6,UltraCalming Cleanser,Dermalogica,$65+,Gel Cleanser,Cleanser,https://www.dermalogica.com/products/ultracalming-cleanser?variant=36070254936216&redirect=false&igaag=&igaat=pla&igacm=17674125984&igacr=&igakw=&igamt=&igant=x&g_acctid=529-936-8876&g_adgroupid=&g_adid=&g_adtype=none&g_campaign=Performance-Max_Cleansers_CN_GFF&g_campaignid=17674125984&g_keyword=&g_keywordid=&g_network=x&g_type=shopping&gclsrc=aw.ds&utm_campaign=Performance-Max_Cleansers_CN_GFF&campaign_category=pmax&gad_source=1&gad_campaignid=17675039422&gbraid=0AAAAADvbnb-43n7c66VdW02zwCbTvfGJB&gclid=CjwKCAjw3tzHBhBREiwAlMJoUtJIytDh_pTy8VqeahsSPk17XCcabvUD60oBTojRpH-q3ykYQNBjaxoCC70QAvD_BwE&selling_plan=3950411928,https://amzn.to/4owCkC2,FALSE,FALSE
AC-1,Gleanser + Glycolic: Non-Drying Glycolic Acid Cleanser,Prequel Skin,$10-20,Active Cleanser,Cleanser,https://prequelskin.com/products/gleanser-glycerin-and-glycolic-acid-cleanser,,TRUE,FALSE
AC-2,Mandelic Cleansing Gel,Biba Los Angeles,$35-65,Active Cleanser,Cleanser,https://www.amazon.com/biba-sousa-mandelic-cleansing-gel/dp/b0c5n76j2m/ref=sr_1_3_sspa,https://amzn.to/4hjmGrk,FALSE,TRUE
AC-3,Cleansing Gel with Mandelic,Circadia,$35-65,Active Cleanser,Cleanser,https://artofskincare.com/products/circadia-cleansing-gel-with-mandelic-acid,,FALSE,FALSE
VS-1,The Unscrub,Paula's Choice,$20-35,Vitamin Scrub,Cleanser,https://www.paulaschoice.com/the-unscrub/740-7400.html,https://amzn.to/3WagVT2,TRUE,FALSE
VS-2,Daily Cleanser,Biba Los Angeles,$35-65,Vitamin Scrub,Cleanser,https://www.bibalosangeles.com/products/daily-cleanser,https://amzn.to/4o34BAc,FALSE,FALSE
VS-3,Vitamin Scrub,Clearstem,$35-65,Vitamin Scrub,Cleanser,https://clearstem.com/products/vitaminscrub,https://amzn.to/3KRZRio,FALSE,TRUE
ES-1,Mandelic Scrub,Biba Los Angeles,$35-65,Exfoliating Scrub,Cleanser,https://www.bibalosangeles.com/products/mandelic-scrub,https://amzn.to/4oi5RiG,TRUE,TRUE
MT-1,Supple Preparation Unscented Toner,Klairs,$20-35,Moisturizing Toner,Toner,https://www.ulta.com/p/supple-preparation-unscented-toner-pimprod2023584,https://amzn.to/4nZSpjO,FALSE,FALSE
MT-2,Milky Face Toner with Snow Mushroom and HA,Thayer's,$10-20,Moisturizing Toner,Toner,https://www.thayers.com/shop-all/toners/hydrating-milky-toner/12-oz?srsltid=AfmBOoovoG0Q9tfrzBazI1AfhzbV5K8yglq6PTuTcdTPP0VOLqLFzaOB,https://amzn.to/4naHoLb,TRUE,FALSE
MT-3,Hydrating Toner with Phospholipids,Biba Los Angeles,$35-65,Moisturizing Toner,Toner,https://www.amazon.com/biba-sousa-hydrating-toner-phospholipids/dp/b0c5nncmlt,https://amzn.to/4hz0kCt,FALSE,TRUE
ST-1,Calm Nourishing Milky Toner,Paula's Choice,$20-35,Soothing Toner,Toner,https://www.paulaschoice.com/calm-nourishing-milky-toner/9230-9230.html,https://amzn.to/47dukij,TRUE,TRUE
ST-2,Heartleaf 77 Soothing Toner ,Anua,$20-35,Soothing Toner,Toner,https://www.amazon.com/Heartleaf-Soothing-Trouble-Refreshing-Purifying/dp/B08CMS8P67/ref=sr_1_3?crid=1HZZPA4BZHYPR&dib=eyJ2IjoiMSJ9.PvBYPzIJvRMpVV14swF2YSMNXQFJD-GWRFO96FR0MmY9-j5vScHMUwcupDqwFiZLX4ER4nqVHGoeuwIpScj1TcRbcBhORU0w3x-R7Y-zmDpAJRypu4FkmfDqeGKuJHf-lxnOGqialR0By5GPXZgFB4ZHXNUsmVy3fckw3xrF81CspgGMhuN3Z5Nm8lbAkoOczqWxsXSDSUT4SpIm9zMd2SCVvecy66JsHlAicHSL_yw.CtUUTaxzX8empALdHuWWfQvn8dYAR0BXbdYSjbQl6fI&dib_tag=se&keywords=anti%2Binflammatory%2Btoner&qid=1761107973&sprefix=anti%2Binflammatory%2Btone%2Cspecialty-aps%2C154&sr=8-3&th=1,https://amzn.to/42StMx7,FALSE,FALSE
ST-3,Facial Treatment Essence,SK-II,$65+,Soothing Toner,Toner,https://www.sk-ii.com/product/essence/facial-treatment-essence/75ml,https://amzn.to/46V9x4d,FALSE,FALSE
RT-1,Skin Perfecting 2% BHA Liquid Exfoliant,Paula's Choice,$20-35,Resurfacing Toner,Toner,https://www.paulaschoice.com/skin-perfecting-2pct-bha-liquid-exfoliant/201-2010.html,https://amzn.to/43dGt5C,FALSE,TRUE
RT-2,Blemish Clearing Salicylic Acid Toner,Thayer's,$10-20,Resurfacing Toner,Toner,https://www.amazon.com/Clearing-Salicylic-Treatment-Soothing-Non-Stripping/dp/B082G1FSWR/ref=sr_1_7?crid=1OC92X4EJP6FF&dib=eyJ2IjoiMSJ9.V5shEDhILLH183GRuMyNdh05LTjK16Dy_lyGZ2C_O9UuoJZHAFeRicR2IVInyzhVh17b6ojLcitPqnmadkd_PaH5buezXYRpjwqlca280b-KUshPg99d49CINkjQHlw9ymEYhmniJTFcK5LDGJgkKwdcOBYsjYOSFPobQe-PDPAEBYtOQG4irWulk6yiuO2ojuUvXAiFNXRBmAjesNVpXa66dBbPJFPZDcw3NFFzs-nnXVXskcv3Z4ALcZSWAAcuagMOgQOqdb3B0RuqYpAm6kea8WA4ScYQcXXSlX5QeI0.fTeyrLpR7xYmVSwcZESNZEVLZQvtApCjBqRmUWTrl90&dib_tag=se&keywords=salicylic%2Btoner&qid=1761106947&rdc=1&sprefix=salicylic%2Btone%2Caps%2C173&sr=8-7&th=1,https://amzn.to/48CDt6o,TRUE,FALSE
RT-3,Press and Clear Clarifying Facial Tonic with BHA,Medik8,$20-35,Resurfacing Toner,Toner,https://www.amazon.com/Medik8-Press-Clear-Brightening-Gentle-Release/dp/B0BWPNLWHC/ref=sr_1_13_sspa?crid=1OC92X4EJP6FF&dib=eyJ2IjoiMSJ9.V5shEDhILLH183GRuMyNdh05LTjK16Dy_lyGZ2C_O9UuoJZHAFeRicR2IVInyzhVh17b6ojLcitPqnmadkd_PaH5buezXYRpjwqlca280b-KUshPg99d49CINkjQHlw9ymEYhmniJTFcK5LDGJgkKwdcOBYsjYOSFPobQe-PDPAEBYtOQG4irWulk6yiuO2ojuUvXAiFNXRBmAjesNVpXa66dBbPJFPZDcw3NFFzs-nnXVXskcv3Z4ALcZSWAAcuagMOgQOqdb3B0RuqYpAm6kea8WA4ScYQcXXSlX5QeI0.fTeyrLpR7xYmVSwcZESNZEVLZQvtApCjBqRmUWTrl90&dib_tag=se&keywords=salicylic+toner&qid=1761106947&sprefix=salicylic+tone%2Caps%2C173&sr=8-13-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1,https://amzn.to/47i4CZT,FALSE,FALSE
RET-1,Retinol 0.5% in Squalene,The Ordinary,<$10,Retinol Serum,Serum,https://theordinary.com/en-us/retinol-05-in-squalane-serum-100440.html,https://amzn.to/47ta1ia,TRUE,FALSE
RET-2,Gentle Retinol Cream,Good Molecules,<$10,Retinol Serum,Serum,https://www.goodmolecules.com/s/good-molecules-gentle-retinol-cream-single,https://amzn.to/47adcd7,FALSE,FALSE
RET-3,Clinical 1% Retinol Treatment,Paula's Choice,$10-20,Retinol Serum,Serum,https://www.paulaschoice.com/clinical-1pct-retinol-treatment/801-8017.html?srsltid=AfmBOoq12gXQnC2wtPJg2bIfIDTZLjQdV5wwqUwHj-isiQY7HNRaWYEbcJ8,https://amzn.to/48CStkL,FALSE,TRUE
MSG-1,6% Mandelic Acid + 2% Lactic Acid Exfoliant,Paula's Choice,$20-35,Mandelic Serum (Gentle),Serum,https://www.amazon.com/Paulas-Choice-Discoloration-Fragrance-Free-Paraben-Free/dp/B0CNL5P9MM/ref=sr_1_1?crid=XSYS1EEVINJS&dib=eyJ2IjoiMSJ9.S27xraCTDlwzc9Ouq9NX2ujEKPor4VlTqguEwMnFOc3om5bCjq-3KznTVubXGRw60ViJ_lNWPJHSA1rIDEbctsaJmTQU8FGUX-ekfnewbpkJExeGhuBjzSdQyo6N3_LVB2o97gAaZD6l8Crsrf46DGWY7ggMW5pNhYSOx6D1qL5Rv9JtIi-I3LCcCgL24664lpNFgrvONu82IK2NREuXQd2UudCXirjCLpaSsPYTzY8Vg9zvIjppEr4njDipIrmewjY0j7SN3nXMdOUEk-AdBHptjkkQHVU5OER8Y_sLw7I.bSOMpw0eOFVKT3mU_wX_-L6ByZ4aGMmCvkYe4DZMlMY&dib_tag=se&keywords=paula%27s%2Bchoice%2Bmandelic&qid=1761109201&s=beauty&sprefix=paula%27s%2Bchoice%2Bmandelic%2Cbeauty%2C202&sr=1-1&th=1,https://amzn.to/3WiGTDV,TRUE,TRUE
MSG-2,Mandelic Clearing Serum,Sophie Pavitt Face,$35-65,Mandelic Serum (Gentle),Serum,https://www.sofiepavittface.com/products/mandelic-clearing-serum,,FALSE,FALSE
MSFS-1,Mandelic Acid Serum,Good Molecules,<$10,Mandelic Serum (Full Strength),Serum,https://www.goodmolecules.com/s/good-molecules-mandelic-acid-serum-single,https://amzn.to/47gwNIN,FALSE,FALSE
MSFS-2,Mandelic Acid 10% + HA,The Ordinary,<$10,Mandelic Serum (Full Strength),Serum,https://theordinary.com/en-us/mandelic-acid-10-ha-exfoliator-100429.html,https://amzn.to/46XKSMt,TRUE,FALSE
MSFS-3,Mandelic Clearing Serum,Sophie Pavitt Face,$35-65,Mandelic Serum (Full Strength),Serum,https://www.sofiepavittface.com/products/mandelic-clearing-serum,,FALSE,FALSE
MSFS-4,Clearity - The Blackhead Dissolver Mandelic Acid Serum,Clearstem,$65+,Mandelic Serum (Full Strength),Serum,https://clearstem.com/products/clearity?variant=39929358352544&nbt=nb%3Aadwords%3Ax%3A23085653980%3A%3A&nb_adtype=pla&nb_kwd=&nb_ti=&nb_mi=478279690&nb_pc=online&nb_pi=dfw_nb_39929358352544&nb_ppi=&nb_placement=&nb_si={sourceid}&nb_li_ms=&nb_lp_ms=&nb_fii=&nb_ap=&nb_mt=&utm_source=google&utm_medium=paid&utm_campaign=23085653980&utm_content=[adid]&utm_term=&gadid=&gad_source=1&gad_campaignid=23081580152&gbraid=0AAAAAC5lYBeDwTFd4Egs-zVOQTLiBk3SB&gclid=CjwKCAjw3tzHBhBREiwAlMJoUmP34YaoLuChZQZ0NSp7P7CRqu5jpxznaDs3dQdWFuYA1zRnp5PGPxoCcBoQAvD_BwE,https://amzn.to/47xgskh,FALSE,TRUE
RS-1,Salicylic Acid 2% Solution,The Ordinary,<$10,Resurfacing Serum,Serum,https://theordinary.com/en-us/salicylic-acid-2-solution-acne-control-100098.html,https://amzn.to/4nbdLJR,TRUE,FALSE
RS-2,Salicylic Acid Serum 2%,Naturium,$10-20,Resurfacing Serum,Serum,https://naturium.com/products/salicylic-acid-serum-2,https://amzn.to/3Wahqwp,FALSE,TRUE
RS-3,Blemish + Age Defense Salicylic Acid Serum,Skinceuticals,$65+,Resurfacing Serum,Serum,https://www.skinceuticals.com/skincare/oil-free-serums/blemish-plus-age-defense/S11.html,,FALSE,FALSE
HS-1,Madagascar Centella Hyalu-Cica Blue Serum,SKIN1004,$10-20,Hydrating Serum,Hydrator,https://www.amazon.com/SKIN1004-Hyalu-CICA-Hyaluronic-Niacinamide-Refreshing/dp/B093JZCD7M,https://amzn.to/3JvM3tm,TRUE,FALSE
HS-2,Super Saturated Hydrating Barrier Serum w/ 30% Glycerin,Experiment,$20-35,Hydrating Serum,Hydrator,https://www.sephora.com/product/super-saturated-hydrating-barrier-serum-P518192?skuId=2897221&icid2=products%20grid:p518192:product,https://amzn.to/4q5QZFQ,FALSE,TRUE
HS-3,Multi-Quench Plumping Hydration Serum,Prequel Skin,$20-35,Hydrating Serum,Hydrator,https://prequelskin.com/products/multi-quench-polyglutamic-acid-serum,https://amzn.to/4n8ozbu,FALSE,FALSE
HM-1,Beta-Glucan Daily Moisture Cream,IUNIK,$10-20,Heavy Moisturizer,Moisturizer,https://www.amazon.com/IUNIK-Beta-Glucan-Lightweight-Moisturizer-Naturally-Derived/dp/B07NMFBQG5/ref=sr_1_1?crid=3CU422897DMXA&dib=eyJ2IjoiMSJ9.It7mQAqRF3g-EmKMmr9iovN3-GgbEfCLs_FZPU8NMfVc1gW0-DmpBfWUeFZJRelFghs1-gs30lpuFuVh0iQnn_OLlmQP6WAcyVZivyABLcJ_Z4ftzUub_KIk0751Hyh6_pRc38mEjvrMHp3dyyirctw2aGi1Z2VGv1LFi6Hb2NpYDTbEJWzSw4O4rNglE2tE1osd2--Ari9RZJyfw7XL4m0VGws_KlSFqgfTW52bh2t12jdfgQ3NtL9fe9jmSoTpFagCIZxx6Jp3-G845dHfENZUdlKuWrcwdeRyFnbUE7E.FdYIrt_K_GVQY3Ny8_daf-Ke3w_KVqnq4IS_b5Pzn0U&dib_tag=se&keywords=Iunik%27s+beta-glucan+cream&qid=1761856648&s=hpc&sprefix=iunik%27s+beta-glucan+cream%2Chpc%2C169&sr=1-1,https://amzn.to/4hz4wC9,TRUE,FALSE
HM-2,Total Moisture Daily Facial Cream,Medik8,$35-65,Heavy Moisturizer,Moisturizer,https://us.medik8.com/products/total-moisture-daily-facial-cream,https://amzn.to/46TMmY2,FALSE,FALSE
HM-3,Hydraglow,Clearstem,$35-65,Heavy Moisturizer,Moisturizer,https://clearstem.com/products/hydraglow,https://amzn.to/4nYaQp4,FALSE,TRUE
LM-1,Moisturizing Gel Cream,BYOMA,$10-20,Light Moisturizer,Moisturizer,https://www.amazon.com/byoma-moisturizing-gel-cream/dp/b0bj74djxg/ref=sr_1_1,https://amzn.to/43qyCBJ,TRUE,FALSE
LM-2,AMPM Face Moisturizer,Prequel Skin,$10-20,Light Moisturizer,Moisturizer,https://prequelskin.com/products/am-pm-face-moisturizer,https://amzn.to/4hdwlzL,FALSE,TRUE
LM-3,Hydraglow,Clearstem,$35-65,Light Moisturizer,Moisturizer,https://clearstem.com/products/hydraglow,https://amzn.to/4nYaQp4,FALSE,FALSE
CS-1,Solar Shade Chemical Sunscreen,Prequel Skin,$20-35,Chemical SPF,Sunscreen,https://prequelskin.com/products/solar-shade-chemical-sunscreen,https://amzn.to/4qcBnjQ,TRUE,FALSE
CS-2,Unseen Sunscreen SPF 30,Supergoop,$35-65,Chemical SPF,Sunscreen,https://www.amazon.com/s?k=supergoop+unseen+sunscreen+30&hvadid=776872990531&hvdev=c&hvexpln=0&hvlocphy=9060360&hvnetw=g&hvocijid=12959738462800577397--&hvqmt=b&hvrand=12959738462800577397&hvtargid=kwd-2176646575347&hydadcr=27529_14904138&mcid=09ff8e7a39d031c59ff440c349768bef&tag=googhydr-20&ref=pd_sl_95jvkoz2g2_b,https://amzn.to/4ncq5cR,FALSE,FALSE
CS-3,Every. Single. Face. Watery Lotion SPF 50 PA++++,Supergoop,$20-35,Chemical SPF,Sunscreen,https://www.amazon.com/Supergoop-Every-Single-Watery-Lotion/dp/B0B3ZQ63PM/ref=sr_1_1?crid=2VOCPHDV9VZ3C&dib=eyJ2IjoiMSJ9.eJElIKIcnAV0qaJDRMeVTs6pijdWJzXgsqPR7uJNu_Vy13Io4xfxIpz2zo0EpWB4oGWqCIyrcBQsszvsI1z50U02J0TnZ88_VAPKO-9OedYJyTXl-QrYpcbED0cQfK2wz4fuC0qsTHqvub6AiK3n8QjAQUk_IQlphZ-Ao8rETH67fiyM67dlfsygIXYhOPdVFzxqt8jvtafe7MK8-jSD7BN2r7ym_x7ZiAWIht4cvaG68RzM-DR8gTf9ttaQspG6O3B33Cy2BAoMO8Slvox4SqvzKBiWB1NUkJ4UZPkYjRM.ZgU8ARftGnpQq_5ve8uR3wpxv0HFgz8q1ssG9wFJOy4&dib_tag=se&keywords=every+single+face+sunscreen&qid=1761110421&sprefix=every+single%2Caps%2C195&sr=8-1,https://amzn.to/46Wls1J,FALSE,TRUE
MS-1,Sun Barrier Mineral Sunscreen,Prequel Skin,$20-35,Mineral SPF,Sunscreen,https://prequelskin.com/products/sun-barrier-mineral-sunscreen,https://amzn.to/3JcPF3r,TRUE,TRUE
MS-2,Ultra Zinc Body and Face Nontinted Mineral Sunscreen,Tizo Skin,$35-65,Mineral SPF,Sunscreen,https://tizoskin.com/products/ultra-zinc-body-face-sunscreen-non-tinted,https://amzn.to/4na9iXQ,FALSE,FALSE
B2-1,2.5% Benzoyl Peroxide Acne Gel Treatment Lotion,Dr. Song,$20-35,BPO 2.5%,Treatment,https://www.amazon.com/dp/b00dfegdvs/ref=sxr_rr_xsim_1_s_it,https://amzn.to/3JdloBw,TRUE,FALSE
B2-2,Benzoyl Peroxide Cream 2.5%,MDacne,$20-35,BPO 2.5%,Treatment,https://www.amazon.com/mdacne-treatment-blemishes-plant-based-ingredients/dp/b0917kl3v7/ref=pd_sbs_d_sccl_1_2/131-2457188-3123753,https://amzn.to/4ncqjAJ,FALSE,TRUE
B5-1,Benzoyl Peroxide Cream 5%,MDacne,$20-35,BPO 5%,Treatment,https://www.amazon.com/dp/b0917lkt7b/ref=sspa_dk_detail_5,https://amzn.to/3KZgrg5,TRUE,TRUE
B5-2,Clenziderm MD Therapeutic Lotion,Obagi,$65+,BPO 5%,Treatment,https://www.obagi.com/products/clenziderm-acne-therapeutic-lotion,,FALSE,FALSE
B1-1,Terminator 10 Acne Spot Treatment w/ 10% Benzoyl Peroxide,AcneFree,<$10,BPO 10%,Treatment,https://www.amazon.com/acnefree-terminator-treatment-peroxide-strength/dp/b0014vtoaq/ref=sr_1_9,https://amzn.to/494gC3J,TRUE,TRUE
